Funcao;Genero;X2015;X2016;X2017;X2018;X2019;X2020;X2021;X2022
NES;Fem;13;12;10;15;10;8;11;10
NES;Mas;74;64;71;110;76;81;77;98
DAS-6;Fem;81;73;67;77;81;84;89;104
DAS-6;Mas;277;276;286;281;310;314;309;301
DAS-5;Fem;664;612;624;672;676;687;740;786
DAS-5;Mas;1731;1722;1777;1766;1748;1770;1728;1780
DAS-4;Fem;2379;2110;2016;2106;2060;2059;2167;2638
DAS-4;Mas;4202;3892;3604;3590;3528;3565;3586;4519
DAS-3;Fem;4049;3770;3392;3467;3498;3596;3752;4822
DAS-3;Mas;5686;5196;4663;4727;4866;4926;4867;6458
DAS-2;Fem;3012;2586;2085;2097;1931;1874;1902;2794
DAS-2;Mas;3535;3263;2328;2367;2235;2051;2040;3633
DAS-1;Fem;3451;3436;5111;5218;4796;4833;5061;3307
DAS-1;Mas;4295;4751;8047;8397;8172;8632;8940;5446
