Funcao;Genero;X2015;X2016;X2017;X2018;X2019;X2020;X2021;X2022
NES;Fem;0,15;0,16;0,12;0,12;0,12;0,09;0,13;0,09
NES;Mas;0,85;0,84;0,88;0,88;0,88;0,91;0,88;0,91
DAS-6;Fem;0,23;0,21;0,19;0,22;0,21;0,21;0,22;0,26
DAS-6;Mas;0,77;0,79;0,81;0,78;0,79;0,79;0,78;0,74
DAS-5;Fem;0,28;0,26;0,26;0,28;0,28;0,28;0,3;0,31
DAS-5;Mas;0,72;0,74;0,74;0,72;0,72;0,72;0,7;0,69
DAS-4;Fem;0,36;0,35;0,36;0,37;0,37;0,37;0,38;0,37
DAS-4;Mas;0,64;0,65;0,64;0,63;0,63;0,63;0,62;0,63
DAS-3;Fem;0,42;0,42;0,42;0,42;0,42;0,42;0,44;0,43
DAS-3;Mas;0,58;0,58;0,58;0,58;0,58;0,58;0,56;0,57
DAS-2;Fem;0,46;0,44;0,47;0,47;0,46;0,48;0,48;0,43
DAS-2;Mas;0,54;0,56;0,53;0,53;0,54;0,52;0,52;0,57
DAS-1;Fem;0,45;0,42;0,39;0,38;0,37;0,36;0,36;0,38
DAS-1;Mas;0,55;0,58;0,61;0,62;0,63;0,64;0,64;0,62
